"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.349989277289299,0.0124383444134677,0.00107227107012653,0,0,0,0,0,0.000214454214025306,0.0036457216384302,0,0.0855672313960969,0,0.144971048681107,0,0,0,0.0817070555436414,0,0,0,0.0248766888269355,0,0,0,0.00193008792622775,0.012652798627493,0,0.0454642933733648,0.0135106154835943,0.00300235899635428,0,0,0,0.000214454214025306,0,0,0,0,0,0.150332404031739,0,0,0.0235899635427836,0,0.00900707698906284,0.0193008792622775,0.0111516191293159,0.00514690113660733,0.000214454214025306
"2",0,0,0,0,0,0,0,0,0,0,0,0.0746223564954683,0,0.109365558912387,0.505740181268882,0.00120845921450151,0,0.0232628398791541,0,0,0,0.0126888217522659,0,0,0,0,0,0,0.000302114803625378,0,0.0027190332326284,0,0,0,0.0244712990936556,0,0,0.00755287009063444,0,0,0.112990936555891,0,0,0.059214501510574,0,0,0.0570996978851964,0.00151057401812689,0.00725075528700906,0
"3",0,0,0.000605510142294883,0,0,0,0,0,0,0,0.00968816227671813,0.0333030578262186,0,0.0741749924311232,0,0.000302755071147442,0,0.0305782621858916,0,0,0,0,0,0.000302755071147442,0.000908265213442325,0.000605510142294883,0,0.0072661217075386,0,0,0,0,0,0,0.0133212231304874,0,0,0,0,0.641235240690282,0.148955495004541,0,0,0.0154405086285195,0,0,0.00423857099606418,0.0172570390554042,0.00181653042688465,0
"4",0,0,0.00413109336271,0,0,0,0.423850179014046,0,0,0.000275406224180667,0,0.0366290278160286,0,0.155329110437896,0,0,0,0.06196640044065,0.015698154778298,0,0,0,0,0,0,0.00413109336271,0.000826218672542,0.00137703112090333,0.005783530707794,0,0.0110162489672267,0.007435968052878,0,0,0.00413109336271,0,0,0,0,0,0.244285320848251,0,0,0.00413109336271,0.000275406224180667,0,0.00908840539796199,0.007435968052878,0.00220324979344533,0
"5",0,0,0,0,0,0.00946494108557079,0,0,0.00424956538535831,0.274096967355611,0,0.115317751593587,0,0.0834460112033996,0,0,0,0.101796407185629,0,0,0,0.146610005794862,0,0,0,0,0,0,0.0805485802588372,0,0,0.00579486188912498,0,0,0.00444272744832915,0.050801622561329,0,0,0,0,0.0782306355031872,0,0.00405640332238748,0.0077264825188333,0.000193162062970833,0,0.0256905543751207,0.00173845856673749,0.00463588951129998,0.001158972377825
"6",0,0,0,0.276845637583893,0.000372856077554064,0,0,0,0,0,0.00186428038777032,0.0376584638329605,0,0.128821774794929,0,0,0.00596569724086503,0.164243102162565,0,0,0.00186428038777032,0.00671140939597315,0.00149142431021626,0,0,0,0,0.0046607009694258,0,0,0.00689783743475019,0.000559284116331096,0,0,0.0052199850857569,0.0180835197613721,0,0,0,0.0100671140939597,0.251677852348993,0,0.0255406413124534,0.00298284862043251,0,0,0.0359806114839672,0,0.00801640566741238,0.00447427293064877
"7",0,0,0,0,0,0.0124959428756897,0,0,0,0.0086011035378124,0,0.0926647192469977,0.00600454397922752,0.0928270042194093,0.00373255436546576,0,0,0.0910418695228822,0,0.499513145082765,0,0.00827653359298929,0,0,0,0.0017851346965271,0,0.000162284972411555,0.00162284972411555,0,0.00194741966893866,0,0.00292112950340798,0,0.00421940928270042,0.000162284972411555,0,0.0111976630963973,0,0,0.0457643622200584,0.000324569944823109,0.0053554040895813,0.0782213567023694,0,0,0.0136319376825706,0.0168776371308017,0,0.000649139889646219
"8",0.00585343011004449,0,0.000234137204401779,0,0,0.00468274408803559,0.0107703114024819,0,0.00889721376726762,0,0,0.0966986654179349,0,0.0948255677827207,0,0,0,0.051978459377195,0,0,0,0.0348864434558651,0,0,0,0,0.229454460313744,0.0133458206509014,0.234371341606181,0.00819480215406228,0.00772652774525872,0,0,0,0,0.0152189182861157,0,0,0,0,0.12104893467572,0,0,0.00187309763521424,0.00187309763521424,0.0112385858112854,0.0149847810817139,0.0257550924841957,0.00468274408803559,0.00140482322641068
"9",0,0,0,0,0,0,0.00725952813067151,0.00282314982859447,0.000403307118370639,0.0127041742286751,0,0.0905424480742085,0,0.119580560596895,0,0,0.00544464609800363,0.0780399274047187,0.0137124420246017,0,0,0.00604960677555959,0.0010082677959266,0,0,0.419036095987094,0.00524299253881831,0,0.0300463803186126,0.00362976406533575,0,0,0,0,0.00685622101230087,0.00584795321637427,0,0,0,0.0020165355918532,0.0758217382536802,0.00705787457148619,0,0.0639241782617463,0,0.000806614236741278,0.0114942528735632,0.0231901593063118,0.00383141762452107,0.00362976406533575
"10",0,0,0,0,0,0.00899182561307902,0.00136239782016349,0,0,0.462942779291553,0.000272479564032698,0.137057220708447,0,0.0961852861035422,0,0.000272479564032698,0,0.0705722070844687,0,0,0,0.0457765667574932,0,0,0,0,0,0,0.0743869209809264,0,0,0.000544959128065395,0,0,0,0,0,0,0,0,0.0536784741144414,0,0.00626702997275204,0,0,0,0.0408719346049046,0,0.000817438692098093,0
